name,lat,lon,str
TAMAQUA 84 EBONY COURT New York NY 11229,40.5943372,-73.9300263,"{lng=-73.9300263, lat=40.5943372}"
MUNCHTIME 21 EAST 170 STREET New York NY 10452,40.8376318,-73.9212858,"{lng=-73.92128579999999, lat=40.8376318}"
BURGER HEAVEN 9 EAST 53 STREET New York NY 10022,40.7593941,-73.9697795,"{lng=-73.9697795, lat=40.7593941}"
CARA MIA 220-20 HILLSIDE AVENUE New York NY 11427,40.7308061,-73.7427047,"{lng=-73.74270469999999, lat=40.7308061}"
IHOP 4340 BOSTON ROAD New York NY 10475,40.889891,-73.819324,"{lng=-73.819324, lat=40.889891}"
RICHMOND COUNTY COUNTRY CLUB 135 FLAGG PLACE New York NY 10304,40.58834,-74.104656,"{lng=-74.10465599999999, lat=40.58834}"
DA VINCI PIZZA 6514 18 AVENUE New York NY 11204,40.6195067,-73.9859414,"{lng=-73.9859414, lat=40.6195067}"
TWINS PUB 421 9 AVENUE New York NY 10001,40.7536854,-73.9991637,"{lng=-73.9991637, lat=40.75368539999999}"
JG MELON RESTAURANT 1291 3 AVENUE New York NY 10021,40.7700703,-73.9580246,"{lng=-73.9580246, lat=40.7700703}"
FLAME RESTAURANT COFFEE HOUSE 893 9 AVENUE New York NY 10019,40.7686973,-73.9918181,"{lng=-73.9918181, lat=40.7686973}"
LENNY'S CLAM BAR 16103 CROSSBAY BOULEVARD New York NY 11414,40.7048296,-73.8160989,"{lng=-73.8160989, lat=40.7048296}"
EL GRECO DINER 1821 EMMONS AVENUE New York NY 11235,40.5835393,-73.9502413,"{lng=-73.9502413, lat=40.5835393}"
LB SPUMONI GARDENS 2725 86 STREET New York NY 11223,40.6009233,-73.977126,"{lng=-73.977126, lat=40.6009233}"
AFRICAN TERRACE 2300 SOUTHERN BOULEVARD New York NY 10460,40.8502883,-73.8786113,"{lng=-73.8786113, lat=40.8502883}"
DA SILVANO RESTAURANT 260 6 AVENUE New York NY 10014,40.7366138,-74.0094471,"{lng=-74.0094471, lat=40.7366138}"
BOOTS & SADDLE BAR 76 CHRISTOPHER STREET New York NY 10014,40.7335084,-74.0034102,"{lng=-74.00341019999999, lat=40.7335084}"
NEW PARKWAY RESTAURANT 7504 13 AVENUE New York NY 11228,40.6137658,-74.0153231,"{lng=-74.0153231, lat=40.6137658}"
CAFE RIAZOR 245 WEST 16 STREET New York NY 10011,40.7464969,-74.0094471,"{lng=-74.0094471, lat=40.7464969}"
MARBELLA RESTAURANT 22033 NORTHERN BOULEVARD New York NY 11361,40.761876,-73.760782,"{lng=-73.76078199999999, lat=40.761876}"
P.J.' S 18925 UNION TURNPIKE New York NY 11366,40.7296423,-73.7798308,"{lng=-73.7798308, lat=40.72964229999999}"
HATSUHANA RESTAURANT 17 EAST 48 STREET New York NY 10017,40.7519846,-73.9697795,"{lng=-73.9697795, lat=40.7519846}"
VIAND COFFEE SHOP 673 MADISON AVENUE New York NY 10065,40.764834,-73.970169,"{lng=-73.970169, lat=40.764834}"
THE HYTES BAR 1082 ST JOHNS PLACE New York NY 11213,40.67096,-73.942599,"{lng=-73.942599, lat=40.67096}"
PERGOLA DES ARTISTES 252 WEST 46 STREET New York NY 10036,40.7602619,-73.9932872,"{lng=-73.9932872, lat=40.7602619}"
TWO STEPS DOWN 240 DE KALB AVENUE New York NY 11205,40.6945036,-73.9565551,"{lng=-73.9565551, lat=40.6945036}"
MCDONALD'S 395 FLATBUSH AVENUE EXTENSION New York NY 11201,40.6895078,-73.9808063,"{lng=-73.9808063, lat=40.6895078}"
EL POTE ESPANOL 718 2 AVENUE New York NY 10016,40.74727,-73.9800645,"{lng=-73.9800645, lat=40.74727}"
MUDVILLE SALOON 126 CHAMBERS STREET New York NY 10007,40.7151413,-74.0089396,"{lng=-74.00893959999999, lat=40.7151413}"
JOHNNY'S REEF RESTAURANT 2 CITY ISLAND AVE New York NY 10464,40.8377713,-73.7826735,"{lng=-73.7826735, lat=40.8377713}"
WHITE CASTLE 846 EMPIRE BOULEVARD New York NY 11213,40.7898933,-73.8292118,"{lng=-73.8292118, lat=40.7898933}"
FERDINANDO'S RESTAURANT 151 UNION STREET New York NY 11231,40.684236,-74.0018435,"{lng=-74.00184349999999, lat=40.684236}"
PETE'S TAVERN 129 EAST 18 STREET New York NY 10003,40.7322535,-73.9874105,"{lng=-73.9874105, lat=40.7322535}"
GINO'S PIZZERIA 61-32 SPRINGFIELD BOULEVARD New York NY 11364,40.7546781,-73.7609044,"{lng=-73.76090440000002, lat=40.7546781}"
JOHN MULLIGAN'S 4272 KATONAH AVENUE New York NY 10470,40.8977501,-73.8672049,"{lng=-73.86720489999999, lat=40.8977501}"
EAR INN 326 SPRING STREET New York NY 10013,40.7258405,-74.0094737,"{lng=-74.0094737, lat=40.7258405}"
BURGER KING 6815 NORTHERN BOULEVARD New York NY 11377,40.7545592,-73.8978737,"{lng=-73.89787369999999, lat=40.7545592}"
MCDONALD'S 3267 RICHMOND AVENUE New York NY 10312,40.5595789,-74.1695538,"{lng=-74.1695538, lat=40.5595789}"
TONY'S PIZZERIA 336 KNICKERBOCKER AVENUE New York NY 11237,40.701015,-73.922642,"{lng=-73.922642, lat=40.701015}"
THREE GUY'S RESTAURANT 960 MADISON AVENUE New York NY 10021,40.7741339,-73.964082,"{lng=-73.96408199999999, lat=40.7741339}"
CUCINA VIVOLO 138140 EAST 74 STREET New York NY 10021,40.7700703,-73.9580246,"{lng=-73.9580246, lat=40.7700703}"
DIVERS COVE 2901 FRANCIS LEWIS BOULEVARD New York NY 11358,40.7702099,-73.792701,"{lng=-73.792701, lat=40.7702099}"
CAFE ESPANOL 172 BLEECKER STREET New York NY 10012,40.7287609,-74.0007509,"{lng=-74.0007509, lat=40.7287609}"
SMITH & WOLLENSKY 201 EAST 49 STREET New York NY 10017,40.7519846,-73.9697795,"{lng=-73.9697795, lat=40.7519846}"
